headword	orig order	re1	re2
A-a machen	1	A-a + MACHEN	
Aa machen	2	Aa + MACHEN	
ab die Post	3	ab die Post	
ab durch die Mitte	4	ab durch die Mitte	
ab geht die Luzie	5	ab geht die Luzie	
ab nach Kassel	6	ab nach Kassel	
ab trimo	7	ab trimo	
ab urbe condita	8	ab urbe condita	
Abbitte leisten	9	Abbitte + leiste	
Abbitte tun	10	Abbitte + TUN	
abblitzen lassen	11	abblitzen + LASSEN	
aber hallo	12	aber hallo	
aber nicht doch	13	aber nicht doch	
aber so was von	14	aber so was von	
aber wie	15	\b[Aa]ber wie(!|\.)\b	
aber, aber	16	\b[Aa]ber, aber\b	
abgehen wie Schmidts Katze	17	wie Schmidts Katze	
abspenstig machen	18	abspenstig + MACHEN	
Abstimmung mit den Füßen	19	Abstimmung mit den Füßen	
abwarten und Tee trinken	20	\bab(\b|w|z|g) + wart + Tee + TRINKEN	
Achtung gebietend	21	Achtung gebietend	
Achtung, fertig, los	22	Achtung + fertig + los	
ad acta legen	23	ad acta + LEGEN	
ad arma	24	ad arma	
Alarmstufe Rot	25	Alarmstufe Rot	
alle Brücken hinter sich abbrechen	26	alle Brücken hinter SICHB + \bab(\b|b|z|g) + _BRECHEN	
alle Hebel in Bewegung setzen	27	alle Hebel in Bewegung + SETZEN	
alle heiligen Zeiten	28	alle heiligen Zeiten	
alle heiligen Zeiten einmal	29	alle heiligen Zeiten + einmal	
alle Hände voll zu tun haben	30	alle Hände + voll zu tun	Hände + voll zu tun
alle Jubeljahre	31	alle Jubeljahre	
alle naselang	32	alle naselang	
alle naslang	33	alle naslang	
alle Register ziehen	34	alle Register + ZIEHEN	
alle Trümpfe in den Händen haben	35	alle Trümpfe in den Händen + HABEN	Trümpfe in den Händen + HABEN
alle Trümpfe in den Händen halten	36	alle Trümpfe in den Händen + HALTEN	Trümpfe in den Händen + HALTEN
alle Trümpfe in der Hand haben	37	alle Trümpfe in der Hand + HABEN	Trümpfe in der Hand + HABEN
alle Trümpfe in der Hand halten	38	alle Trümpfe in der Hand + HALTEN	Trümpfe in der Hand + HALTEN
alle Trümpfe in Händen haben	39	alle Trümpfe in Händen + HABEN	Trümpfe in Händen + HABEN
alle Trümpfe in Händen halten	40	alle Trümpfe in Händen + HALTEN	Trümpfe in Händen + HALTEN
alle viere von sich strecken	41	alle viere + von SICHD + streck	
allein auf weiter Flur	42	allein auf weiter Flur	
allen Ernstes	43	allen Ernstes	
aller Ehren wert sein	44	aller Ehren wert + SEIN	
allererste Sahne sein	45	allereste Sahne + SEIN	
alles auf eine Karte setzen	46	alles auf eine Karte + SETZEN	
alles beim Alten lassen	47	alles beim Alten + LASSEN	
alles durch die rosarote Brille sehen	48	alle(s)? + durch die rosarote Brille + SEHEN	
alles fit im Schritt	49	alles fit im Schritt	
alles gut	50	alles gut + MANUAL_REVIEW	
alles hat ein Ende, nur die Wurst hat zwei	51	alles hat ein Ende + Wurst	
alles im grünen Bereich sein	52	im grünen Bereich	
alles in Butter	53	alles in Butter	
alles in einen Topf werfen	54	in einen Topf + WERFEN	alle(s)? + in einen Topf + WERFEN
alles in schwarzen Farben malen	55	alles in schwarzen Farben + MALEN	
alles paletti	56	alles paletti	
alles über einen Kamm scheren	57	über einen Kamm + scher	alle(s) + über einen Kamm + scher
alles, was Beine hat	58	alles, was Beine hat	
allez hopp	59	allez hopp	
als ob	60	als ob	
als Tiger springen und als Bettvorleger landen	61	als Tiger + als Bettvorleger	
alt aussehen	62	alt + \baus(\b|s|zusehen|gesehen) + _SEHEN + MANUAL_REVIEW	alt + \baus(\b|s|z|g) + _SEHEN + MANUAL_REVIEW
alte Zöpfe abschneiden	63	alte Zöpfe + \bab(\b|s|z|g) + _SCHNEIDEN	
Alter vor Schönheit	64	Alter vor Schönheit	
alter Wein in neuen Schläuchen	65	alter Wein + neuen Schläuchen	
am Abend wird der Faule fleißig	66	am Abend + der Faule + fleißig + WERDEN	
am Arsch	67	am Arsch	
am Arsch der Welt	68	am Arsch der Welt	
am Ball bleiben	69	am Ball + BLEIBEN	
am Boden sein	70	am Boden + SEIN	
am Boden zerstört sein	71	am Boden zerstört + SEIN	
am dransten sein	72	am dransten	
am Drücker sein	73	am Drücker + SEIN	
am Ende des Tages	74	am Ende des Tages + MANUAL_REVIEW	
am Hungertuch nagen	75	am Hungertuch + NAGEN	
am langen Arm verhungern lassen	76	am langen Arm + verhungern + LASSEN	
am längeren Hebel sitzen	77	am längeren Heben + SITZEN	
am Rad drehen	78	am Rad + dreh	
am Sankt-Nimmerleins-Tag	79	am Sankt-Nimmerleins-Tag	
an allen Ecken und Enden	80	an allen Ecken und Enden	
an allen Ecken und Kanten	81	an allen Ecken und Kanten	
an der Matratze horchen	82	an der Matratze + horch	
an der Nadel hängen	83	an der Nädel + HÄNGENHING	
an der Scholle hängen	84	an der Scholle + HÄNGENHING	
an der Scholle kleben	85	an der Scholle + kleb	
an der Tagesordnung sein	86	an der Tagesordnung + MANUAL_REVIEW	
