placeholder	replacement	comment
LIEGEN	\blieg|\bl[aä]g|\bgelegen	
HÄNGENHING	\bhäng|\bhing|\bgehangen	Most of the time the key is just the infinitive, perhaps preceded by an '_', but for 'hängen', we need to distinguish between the strong and weak variants.
HÄNGENHÄNGTE	\bhäng|\bgehängt	See comment for 'HÄNGENHING'.
STEHEN	\bsteh|\bst[auüä]nd|\bgestanden	
_STEHEN	steh|st[auüä]nd|gestanden	
VERSTEHEN	\bversteh|\bverst[auüä]nd|\bverstanden	
GEHEN	\bgeh|\bging|\bgegangen	
_GEHEN	geh|ging|gegangen	
ZU_GEHEN	\bgeh.*\bzu\b|\bging.*\bzu\b|\bzugeh|\bzuging|\bzuzugehen|\bzugegangen	
HER_GEHEN	\bgeh.*\bher\b|\bging.*\bher\b|\bhergeh|\bherging|\bherzugehen|\bhergegangen	
ZERGEHEN	\bzergeh|\bzerging|\bzergangen	
VERGEHEN	\bvergeh|\bverging|\bvergangen	
LESEN	\blese|\blies|\bl[aä]ß|\bgelesen	
_LESEN	lese|lies|l[aä]ß|gelesen	
SEHEN	\bsehe|\bsieh|\bs[aä]h|\bgesehen	
_SEHEN	sehe|sieh|s[aä]h|gesehen	
EMPFEHLEN	\bempf[aeäö]hl|\bempfiel|\bempfohlen	
STEHLEN	\bst[aeäö]hl|\bstiel|gestohlen	
NEHMEN	\bnimm|\bn[aäe]hm|\bgenommen	
_NEHMEN	nimm|n[aäe]hm|genommen	
ZIEHEN	\bzieh|\bz[oö]g|\bgezogen	
_ZIEHEN	zieh|z[oö]g|gezogen	
VERZIEHEN	\bverzieh|\bverz[oö]g|\bverzogen	
FLIEGEN	\bflieg|\bfl[oö]g|\bgeflogen	
SCHIEBEN	\bschieb|\bsch[oö]b|\bgeschoben	
_SCHIEBEN	schieb|sch[oö]b|geschoben	
SCHIEẞEN	\bschieß|\bsch[oö]ss|\bgeschossen	
_SCHIEẞEN	schieß|sch[oö]ss|geschossen	
SCHLIEẞEN	\bschließ|\bschl[oö]ss|\bgeschlossen	
_SCHLIEẞEN	schließ|schl[oö]ss|geschlossen	
GENIEẞEN	\bgenieß|\bgen[oö]ss|\bgenossen	
STOẞEN	\bst[oö]ß|\bstieß|\bgestoßen	
_STOẞEN	st[oö]ß|stieß|gestoßen	
KOMMEN	\bkomm|\bk[aä]m|\bgekommen	
_KOMMEN	komm|k[aä]m|gekommen	
BIETEN	\bbiet|\bbeut|\bb[oö]t|\bgeboten	
_BIETEN	biet|beut|b[oö]t|geboten	
VERBIETEN	\bverbiet|\bverbeut|\bverb[oö]t|\bverboten	
RIECHEN	\briech|\br[oö]ch|\bgerochen	
KRIECHEN	\bkriech|\bkr[oö]ch|\bgekrochen	
SCHLAFEN	\bschl[aä]f|\bschlief|\bgeschlafen	
HALTEN	\bh[aä]lt|\bhielt|\bgehalten	
_HALTEN	h[aä]lt|hielt|gehalten	
FALLEN	\bf[aä]ll|\bfiel|\bgefallen	
LASSEN	\bl[aä]ss|\bließ|\bgelassen	
_LASSEN	l[aä]ss|ließ|gelassen	
BLASEN	\bbl[aä]s|\bblies|\bgeblasen	
SAUGEN	\bsaug|\bsög|\bgesaugt|\bgesogen	
_SAUGEN	saug|sög|gesaugt|gesogen	
LAUFEN	\bl[aä]uf|\blief|\bgelaufen	
_LAUFEN	l[aä]uf|lief|gelaufen	
VERLAUFEN	\bverl[aä]uf|\bverlief|\bverlaufen	
VERLIEREN	\bverlier|\bverl[oö]r|\bverloren	
_FRIEREN	frier|\bfr[oö]r|gefroren	
BRINGEN	\bbring|\bbr[aä]chte|\bgebracht	
_BRINGEN	bring|br[aä]chte|gebracht	
DENKEN	\bdenk|\bd[aä]chte|\bgedacht	
SCHREIBEN	\bschreib|\bschrieb|\bgeschrieben	
SCHWEIGEN	\bschweig|\bschwieg|\bgeschwiegen	
BLEIBEN	\bbleib|\bblieb|\bgeblieben	
_BLEIBEN	bleib|blieb|geblieben	
TREIBEN	\btreib|\btrieb|\bgetrieben	
_TREIBEN	treib|trieb|getrieben	
REIBEN	\breib|\brieb|\bgerieben	
STEIGEN	\bsteig|\bstieg|\bgestiegen	
_STEIGEN	steig|stieg|gestiegen	
SCHEIDEN	\bscheid|\bschied|\bgeschieden	
WEISEN	\bweis|\bwies|\bgewiesen	
VERWEISEN	\bverweis|\bverwies|\bverwiesen	
PFEIFEN	\bpfeif|\bpfiff|\bgepfiffen	
GREIFEN	\bgreif|\bgriff|\bgegriffen	
SCHREITEN	\bschreit|\bschritt|\bgeschritten	
_SCHREITEN	schreit|schritt|geschritten	
REITEN	\breit|\britt|\bgeritten	
SCHNEIDEN	\bschneid|\bschnitt|\bgeschnitten	
_SCHNEIDEN	schneid|schnitt|geschnitten	
SCHMEIẞEN	\bschmeiß|\bschmiss|\bgeschmissen	
_SCHMEIẞEN	schmeiß|schmiss|geschmissen	
SCHEIẞEN	\bscheiß|\bschiss|\bgeschissen	
REIẞEN	\breiß|\briss|\bgerissen	
_REIẞEN	reiß|riss|gerissen	
BEIẞEN	\bbeiß|\bbiss|\bgebissen	
_BEIẞEN	beiß|biss|gebissen	
GIEẞEN	\bgieß|\bgoss|\bgegossen	
TREFFEN	\btr[ei]ff|\btr[aä]f|\bgetroffen	
RUFEN	\bruf|\brief|gerufen	
GERATEN	\bger[aä]t|\bgeriet|\bgeraten	
BRATEN	\bbr[aä]t|\bbriet|\bgebraten	
TRETEN	\btr[ea]t|\btritt|\bgetreten	
_TRETEN	tr[ea]t|tritt|getreten	
SITZEN	\bsitz|\bs[aä]ß|\bgesessen	
BITTEN	\bbitte|\bb[aä]t|gebeten	
ESSEN	\besse|\bisst|\b[aä]ß|\bgegessen	
FRESSEN	\bfresse|\bfrisst|\bfr[aä]ß|\bgefressen	
MESSEN	\bmesse|\bmisst|\bm[aä]ß|\bgemessen	
STREICHEN	\bstreich|\bstrich|\bgestrichen	
GLEICHEN	\bgleich|\bglich|\bgeglichen	
_WEICHEN	weich|wich|gewichen	
ERLEIDEN	\berleid|\berlitt|\berlitten	
BEHALTEN	\bbeh[aä]lt|\bbehielt	Start section: Inseparable prefixes.
BEGEBEN	\bbeg[eiaä]b|\bbegeben	
BENEHMEN	\bbenimm|\bben[aäe]hm|\bbenommen	
BEKOMMEN	\bbekomm|\bbek[aä]m|\bbekommen	
VERLASSEN	\bverl[aä]ss|\bverließ|\bverlassen	
BEFINDEN	\bbef[iaä]nd|\bbefunden|\bbefunden	
ERGREIFEN	\bergreif|\bergriff|\bergriffen	
ERWEISEN	\berweis|\berwies|\berwiesen	
VERGLEICHEN	\bvergleich|\bverglich|\bverglichen	
VERGIEẞEN	\bvergieß|\bvergoss|\bvergossen	
VERDERBEN	\bverd[eiaüo]rb|\bverdorben	
ERFAHREN	\berf[aäuü]|\berfahren	Start section: Inseparable prefixes and present/past differ only by a vowel
WOLLEN	\bwill|\bwollte|\bgewollt|\bwollen	Start section: Infinitive not included in other patterns
MÜSSEN	\bmuss|\bmüsste|\bgemusst|\bmüssen	
KÖNNEN	\bkann|\bk[oö]nnt|\bgekonnt|\bkönnen	
_KÖNNEN	kann|k[oö]nnt|gekonnt|können	
WISSEN	\bweiß|\bwisse|\bw[üu]sste|\bgewusst	
HABEN	\bhab(e\b|t?\b|end?\b|es?t\b)|\bhas?t\b|\bh[aä]tte(\b|s?t\b|en\b)|\bgehabt	Start section: Irregular verbs
_HABEN	habe|hast|hat|hätt|gehabt	
SEIN	\bbin\b|\bb?ist\b|\bsind\b|\bwar(\b|s?t\b|en\b)|\bwär(e|s?t\b)|\bsei(\b|d\b|e)|\bgewesen	
TUN	\btu\b|\btue|\btu(s)?t\b|\bt[aä]t|getan|\btu[tn]\b	
GLEICHTUN	\btu\b|\btue|\btu(s)?t\b|\bt[aä]t|\bgetan|\btu[tn]\b|\bgleichtu|\bgleicht[aä]t|gleichgetan	
ZUTUN	\btu\b|\btue|\btus?t\b|\bt[aä]t|getan|\btu[tn]\b\bzutu|\bzut[aä]t|\bzuzutun|\bzugetan	Separable, but standard way will probably give lots of false positive hits.
ANTUN	\btu\b|\btue|\btus?t\b|\bt[aä]t|getan|\btu[tn]\b\bantu|\bant[aä]t|\banantun|\bangetan	Separable, but standard way will probably give lots of false positive hits.
SPRINGEN	\bspr[iäa]ng|\bgesprungen	Start section: Present and preterite differ by only a vowel
_SPRINGEN	spr[iäa]ng|gesprungen	
ZWINGEN	\bzw[iaä]ng|\bgezwungen	
SCHWINGEN	\bschw[iaä]ng|\bgeschwungen	
FAHREN	\bf[aäu]hr|\bgefahren	omit Konj II on purpose (since 'führen' is such a common verb)
_FAHREN	f[aäu]hr|gefahren	omit Konj II on purpose (since 'führen' is such a common verb)
SPRECHEN	\bspr[eiäa]ch|\bgesprochen	
VERSPRECHEN	\bverspr[eiäa]ch|\bversprochen	
STERBEN	\bst[eiaü]rb|\bgestorben	
STECHEN	\bst[eiäa]ch|\bgestochen	
BRECHEN	\bbr[eiäa]ch|\bgebrochen	
_BRECHEN	br[eiäa]ch|gebrochen	
ZERBRECHEN	\bzerbr[eiäa]ch|\bzerbrochen	
WINDEN	\bw[iaä]nd|\bgewunden	
_WINDEN	w[iaä]nd|gewunden	
FINDEN	\bf[iaä]nd|\bgefunden	
_FINDEN	f[iaä]nd|gefunden	
ERFINDEN	\berf[iaä]nd|\berfunden	
BINDEN	\bb[iaä]nd|\bgebunden	
_BINDEN	b[iaä]nd|gebunden	
SCHWIMMEN	\bschw[iaäoö]mm|\bgeschwummen	
GEWINNEN	\bgew[iaäö]nn|\bgewonnen	
WACHSEN	\bw[aäuü]chs|\bgewachsen	
WASCHEN	\bw[aäuü]sch|\bgewaschen	
GRABEN	\bgr[äauü]b|\bgegraben	
_GRABEN	gr[äauü]b|gegraben	
BEGRABEN	\bbegr[äauü]b|\bbegraben	
WERFEN	\bw[eiaü]rf|\bgeworfen	
_WERFEN	w[eiaü]rf|geworfen	
HELFEN	\bh[eiaüä]lf|\bgeholfen	
HEBEN	\bh[eouöü]b|\bgehoben	
_HEBEN	h[eouöü]b|gehoben	
BEKENNEN	\bbek[ea]nn	
BRENNEN	\bbrenn|\bbrannte|\bgebrannt	
NENNEN	\bnenn|\bnannte|\bgenannt	
RENNEN	\brenn|\brannte|\bgerannt	
KENNEN	\bkenn|\bkannte|\bgekannt	
VERBRENNEN	\bverbrenn|\bverbrannt	
LÜGEN	\bl[üoö]g|\bgelogen	
WENDEN	\bw[ea]nd|gewandt|\bgewendet	
VERWENDEN	\bverw[ea]nd|verwandt|\bverwendet	
