headword	n_manual_sampsize
A-a machen	
Aa machen	
ab die Post	
ab durch die Mitte	
ab geht die Luzie	
ab nach Kassel	
ab trimo	
ab urbe condita	
Abbitte leisten	
Abbitte tun	
abblitzen lassen	
aber hallo	
aber nicht doch	
aber so was von	
aber wie	
aber, aber	
abgehen wie Schmidts Katze	
abspenstig machen	
Abstimmung mit den Füßen	
abwarten und Tee trinken	
Achtung gebietend	
Achtung, fertig, los	
ad acta legen	
ad arma	
Alarmstufe Rot	
alle Brücken hinter sich abbrechen	
alle Hebel in Bewegung setzen	
alle heiligen Zeiten	
alle heiligen Zeiten einmal	
alle Hände voll zu tun haben	
alle Jubeljahre	
alle naselang	
alle naslang	
alle Register ziehen	
alle Trümpfe in den Händen haben	
alle Trümpfe in den Händen halten	
alle Trümpfe in der Hand haben	
alle Trümpfe in der Hand halten	
alle Trümpfe in Händen haben	
alle Trümpfe in Händen halten	
alle viere von sich strecken	
allein auf weiter Flur	
allen Ernstes	
aller Ehren wert sein	
allererste Sahne sein	
alles auf eine Karte setzen	
alles beim Alten lassen	
alles durch die rosarote Brille sehen	
alles fit im Schritt	
alles gut	
alles hat ein Ende, nur die Wurst hat zwei	
alles im grünen Bereich sein	
alles in Butter	
alles in einen Topf werfen	
alles in schwarzen Farben malen	
alles paletti	
alles über einen Kamm scheren	
alles, was Beine hat	
allez hopp	
als ob	
als Tiger springen und als Bettvorleger landen	
alt aussehen	
alte Zöpfe abschneiden	
Alter vor Schönheit	
alter Wein in neuen Schläuchen	
am Abend wird der Faule fleißig	
am Arsch	
am Arsch der Welt	
am Ball bleiben	
am Boden sein	50
am Boden zerstört sein	
am dransten sein	
am Drücker sein	
am Ende des Tages	50
am Hungertuch nagen	
am langen Arm verhungern lassen	
am längeren Hebel sitzen	
am Rad drehen	
am Sankt-Nimmerleins-Tag	
an allen Ecken und Enden	
an allen Ecken und Kanten	
an der Matratze horchen	
an der Nadel hängen	
an der Scholle hängen	
an der Scholle kleben	
an der Tagesordnung sein	50
an die Decke gehen	
an die Hand geben	
an einem seidenen Faden hängen	
an einem Strang ziehen	
an etwas keinen Kopf und keinen Arsch finden	
an jemandes Händen klebt Blut	
an jemandes Stuhl sägen	
an sich halten	
anbieten wie sauer Bier	
anbieten wie Sauerbier	
angedeihen lassen	
angst und bange sein	
anno dazumal	
anno Tobak	
ans Bett gefesselt sein	
Anstalten machen	
Anstalten treffen	
anything goes	
arbeiten wie ein Pferd	
Arm und Reich	
arm wie eine Kirchenmaus sein	
Arsch der Welt	
Asbach uralt	
Asche aufs Haupt streuen	
Atem schöpfen	
auch nur mit Wasser kochen	
auf Abbruch heiraten	
auf Achse sein	
auf allen Hochzeiten tanzen	
auf alten Schiffen lernt man segeln	
auf Anhieb	
auf Biegen und Brechen	
auf dem Absatz kehrtmachen	
auf dem absteigenden Ast sein	
auf dem Boden der Tatsachen bleiben	
auf dem falschen Dampfer sein	
auf dem Gewissen haben	
auf dem Holzweg sein	
auf dem Kieker haben	
auf dem kleinen Dienstweg	
auf dem Laufenden sein	
auf dem letzten Loch pfeifen	
auf dem Papier	
auf dem Schlauch stehen	
auf dem Spiel stehen	
auf dem Sünderstühlchen sitzen	
auf dem Teppich bleiben	
auf dem Trockenen sitzen	
auf dem Zahnfleisch gehen	
auf den Busch klopfen	
auf den fahrenden Zug aufspringen	
auf den Geist gehen	
auf den Hund kommen	
auf den Kopf hauen	
auf den Leim gehen	
auf den letzten Drücker	
auf den Plan treten	
auf den Punkt kommen	
auf den Putz hauen	
auf den Sack gehen	
auf den Sankt-Nimmerleins-Tag	
auf den Stutz	
auf den Swutsch gehen	
auf der Bärenhaut liegen	
auf der Dacken liegen	
auf der faulen Haut liegen	
auf der gleichen Wellenlänge sein	
auf der Hand liegen	
auf der Hut sein	
auf der Kippe stehen	
auf der Lauer liegen	
auf der Stelle	
auf der Straße leben	
auf der Strecke bleiben	
auf der Tacken liegen	
auf des Messers Schneide stehen	
auf die Barrikaden gehen	
auf die Kacke hauen	
auf die Nase binden	
auf die Nase fallen	
auf die Nerven gehen	
auf die Pauke hauen	
auf die schiefe Bahn geraten	
auf die Schnelle	
auf die Straße gehen	
auf die Tränendrüse drücken	
auf die Tube drücken	
auf Draht sein	
auf dünnem Eis	
auf eigene Faust	
auf eigene Gefahr	
auf eigene Rechnung	
auf eigenen Beinen stehen	
auf ein Haar	
auf etwas erpicht sein	
auf etwas nichts kommen lassen	
auf ex trinken	
auf freiem Fuß sein	
auf freien Fuß setzen	
auf Freiersfüßen gehen	
auf Freiersfüßen wandeln	
auf Gedeih und Verderb	
auf Granit beißen	
auf großem Fuß leben	
auf Grund laufen	
auf gut Deutsch	
auf gutem Fuß stehen	
auf Heller und Pfennig	
auf Herz und Nieren prüfen	
auf Holz klopfen	
auf jeden Fall	
auf Kante nähen	
auf keine Kuhhaut gehen	
auf keinen Fall	
auf keinen grünen Zweig kommen	
auf Krawall gebürstet sein	
auf laut stellen	
auf Messers Schneide stehen	
auf Nimmerwiedersehen	
auf Nummer sicher gehen	
auf offener Straße	
auf Pump leben	
auf Punkt und Beistrich	
auf Punkt und Komma	
auf Sand gebaut haben	
auf Schusters Rappen	
auf sich warten lassen	
auf Spitz und Knopf stehen	
auf taube Ohren stoßen	
auf Teufel komm raus	
auf tönernen Füßen stehen	
auf und davon	
auf verlorenem Posten stehen	
auf Vordermann bringen	
auf Wolke sieben schweben	
auf Zack bringen	
auf Zack sein	
auf Zuwachs berechnet sein	
auf zwei Hochzeiten tanzen	
aufgehen wie ein Hefekloß	
aufgehen wie ein Pfannkuchen	
aufn Swutsch gehen	
aufpassen wie ein Haftelmacher	
aufpassen wie ein Heftelmacher	
aufpassen wie ein Luchs	
aufpassen wie ein Schießhund	
aufs Ganze gehen	
aufs Haar	
Aufsehen erregen	
Auge um Auge	
Auge um Auge, Zahn um Zahn	
Augen zu und durch	
aus allen Himmeln fallen	
aus allen Himmeln stürzen	
aus allen Wolken fallen	
aus Daffke	
aus dem Blechnapf fressen	
aus dem Feuer reißen	
aus dem Handgelenk	
aus dem Hinterhalt pupen	
aus dem Hut zaubern	
aus dem Knick kommen	
aus dem Koffer leben	
aus dem Kopf	
aus dem Lameng	
aus dem Leim gehen	
aus dem letzten Loch pfeifen	
aus dem Nähkästchen plaudern	
aus dem Rahmen fallen	
aus dem Ruder laufen	
aus dem Schneider sein	
aus dem Vollen schöpfen	
aus den Augen verlieren	
aus den Federn	
aus den Fugen gehen	
aus den Fugen geraten	
aus den Latschen kippen	
aus der Art schlagen	
aus der Decke schlagen	
aus der Haut fahren	
aus der Hüfte schießen	
aus der Lamäng	
aus der Portokasse zahlen	
aus der Reihe tanzen	
aus die Maus	
aus einem Furz einen Donnerschlag machen	
aus einer Mücke einen Elefanten machen	
aus etwas Honig saugen	
aus etwas Kleinholz machen	
aus freien Stücken	
aus jemandem Hackfleisch machen	
aus jemandem Kleinholz machen	
aus Scheiße Geld machen	
aus seinem Herzen keine Mördergrube machen	
aus sich heraus	
aus vollem Hals	
aus vollem Halse	
aus voller Brust	
aus voller Kehle	
ausgehen wie das Hornberger Schießen	
Ausnahmen bestätigen die Regel	
Ausschau halten	
aussehen wie das Leiden Christi	
außer Rand und Band geraten	
außer sich sein	
außer Spesen nichts gewesen	
Bacchus huldigen	
bar auf die Hand	
Bauklötze staunen	
Bauklötzer staunen	
Bedenken tragen	
bei Adam und Eva anfangen	
bei Fuß	
bei jemandem abgegessen haben	
bei jemandem auf den Busch klopfen	
bei jemandem einen Stein im Brett haben	
bei jemandem gut Wetter machen	
bei jemandem hat der Staatsanwalt den Finger drauf	
bei jemandem hat der Staatsanwalt noch den Finger drauf	
bei jemandem ist der Groschen gefallen	
bei jemandem ist Schmalhans Küchenmeister	
bei jemandem schrillen die Alarmglocken	all
bei Philippi sehen wir uns wieder	
bei Wasser und Brot sitzen	
bei Wind und Wetter	
beide Hände voll zu tun haben	
beim Kranich zu Gast sein	
bekannt sein wie ein bunter Hund	
bekannt sein wie ein scheckiger Hund	
Berge versetzen können	
Bescheid sagen	
betrunken wie eine Strandhaubitze	
Bilanz ziehen	50
Bindfäden regnen	
bis an die Zähne bewaffnet sein	
bis bald	
bis dann	
bis hierher und nicht weiter	
bis in die Puppen	
bis ins Kleinste	
bis Oberkante Unterlippe	
bis zum Geht-nicht-mehr	
bis zum Gehtnichtmehr	
bis zum Sankt-Nimmerleins-Tag	
bis über beide Ohren verliebt sein	
bis über die Ohren verliebt sein	
bitte schön	
bitten und betteln	
bleich wie der Tod	
blind vor Wut sein	
blind wie ein Maulwurf	
blinde Passagierin	
blinder Passagier	
Blumen sprechen lassen	
Blut lecken	
