Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
A-a machen	1	1	A-a + MACHEN		0	0 -> 0	0	3 -> 0							0	https://de.wiktionary.org/wiki/A-a_machen
Aa machen	2	2	Aa + MACHEN		2	22 -> 2	3	146 -> 3							2	https://de.wiktionary.org/wiki/Aa_machen
ab die Post	3	3	ab die Post		2	2	2	2							2	https://de.wiktionary.org/wiki/ab_die_Post
ab durch die Mitte	4	4	ab durch die Mitte		2	2	2	2							2	https://de.wiktionary.org/wiki/ab_durch_die_Mitte
ab geht die Luzie	5	5	ab geht die Luzie		0	0	0	0							0	https://de.wiktionary.org/wiki/ab_geht_die_Luzie
ab nach Kassel	6	6	ab nach Kassel		0	0	0	0							0	https://de.wiktionary.org/wiki/ab_nach_Kassel
ab trimo	7	7	ab trimo		0	0	0	0							0	https://de.wiktionary.org/wiki/ab_trimo
ab urbe condita	8	8	ab urbe condita		5	5	5	5							5	https://de.wiktionary.org/wiki/ab_urbe_condita
Abbitte leisten	9	9	Abbitte + leiste		11	16 -> 11	11	16 -> 11							11	https://de.wiktionary.org/wiki/Abbitte_leisten
Abbitte tun	10	10	Abbitte + TUN		0	16 -> 0	0	16 -> 0							0	https://de.wiktionary.org/wiki/Abbitte_tun
abblitzen lassen	11	11	abblitzen + LASSEN		20	21 -> 20	20	21 -> 20							20	https://de.wiktionary.org/wiki/abblitzen_lassen
aber hallo	12	12	aber hallo		1	1	6	6							1	https://de.wiktionary.org/wiki/aber_hallo
aber nicht doch	13	13	aber nicht doch		4	4	4	4							4	https://de.wiktionary.org/wiki/aber_nicht_doch
aber so was von	14	14	aber so was von		4	4	4	4							4	https://de.wiktionary.org/wiki/aber_so_was_von
aber wie	15	15	\b[Aa]ber wie(!|\.)\b		0	0	0	0							0	https://de.wiktionary.org/wiki/aber_wie
aber, aber	16	16	\b[Aa]ber, aber\b		5	5	5	5							5	https://de.wiktionary.org/wiki/aber%2C_aber
abgehen wie Schmidts Katze	17	17	wie Schmidts Katze		0	0	0	0							0	https://de.wiktionary.org/wiki/abgehen_wie_Schmidts_Katze
abspenstig machen	18	18	abspenstig + MACHEN		14	14 -> 14	14	14 -> 14							14	https://de.wiktionary.org/wiki/abspenstig_machen
Abstimmung mit den Füßen	19	19	Abstimmung mit den Füßen		3	3	3	3							3	https://de.wiktionary.org/wiki/Abstimmung_mit_den_F%C3%BC%C3%9Fen
abwarten und Tee trinken	20	20	\bab(\b|w|z|g) + wart + Tee + TRINKEN		0	106684 -> 2 -> 0 -> 0	0	134687 -> 2 -> 0 -> 0							0	https://de.wiktionary.org/wiki/abwarten_und_Tee_trinken
Achtung gebietend	21	21	Achtung gebietend		0	0	0	0							0	https://de.wiktionary.org/wiki/Achtung_gebietend
Achtung, fertig, los	22	22	Achtung + fertig + los		2	510 -> 5 -> 2	2	531 -> 5 -> 2							2	https://de.wiktionary.org/wiki/Achtung%2C_fertig%2C_los
ad acta legen	23	23	ad acta + LEGEN		42	42 -> 42	42	42 -> 42							42	https://de.wiktionary.org/wiki/ad_acta_legen
ad arma	24	24	ad arma		0	0	0	0							0	https://de.wiktionary.org/wiki/ad_arma
