headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
A-a machen	1	1	A-a + MACHEN		0	2 -> 0	0	20 -> 0							0	Aa machen		Aa machen	https://de.wiktionary.org/wiki/A-a_machen	
Aa machen	2	2	Aa + MACHEN		1	149 -> 1	4	413 -> 4							1	Aa machen			https://de.wiktionary.org/wiki/Aa_machen	
ab die Post	3	3	ab die Post		3	3	3	3							3				https://de.wiktionary.org/wiki/ab_die_Post	
ab durch die Mitte	4	4	ab durch die Mitte		1	1	1	1							1				https://de.wiktionary.org/wiki/ab_durch_die_Mitte	https://en.wiktionary.org/wiki/ab_durch_die_Mitte
ab geht die Luzie	5	5	ab geht die Luzie		0	0	0	0							0				https://de.wiktionary.org/wiki/ab_geht_die_Luzie	
ab nach Kassel	6	6	ab nach Kassel		2	2	2	2							2				https://de.wiktionary.org/wiki/ab_nach_Kassel	
ab trimo	7	7	ab trimo		0	0	0	0							0				https://de.wiktionary.org/wiki/ab_trimo	
ab urbe condita	8	8	ab urbe condita		15	15	17	17							15				https://de.wiktionary.org/wiki/ab_urbe_condita	
Abbitte leisten	9	9	Abbitte + leiste		8	22 -> 8	8	22 -> 8							8		Abbitte leisten		https://de.wiktionary.org/wiki/Abbitte_leisten	
Abbitte tun	10	10	Abbitte + TUN		2	22 -> 2	2	22 -> 2							2		Abbitte leisten		https://de.wiktionary.org/wiki/Abbitte_tun	
abblitzen lassen	11	11	abblitzen + LASSEN		9	9 -> 9	9	9 -> 9							9				https://de.wiktionary.org/wiki/abblitzen_lassen	
aber hallo	12	12	aber hallo		2	2	2	2							2				https://de.wiktionary.org/wiki/aber_hallo	
aber nicht doch	13	13	aber nicht doch		0	0	0	0							0				https://de.wiktionary.org/wiki/aber_nicht_doch	
aber so was von	14	14	aber so was von		0	0	0	0							0				https://de.wiktionary.org/wiki/aber_so_was_von	
aber wie	15	15	\b[Aa]ber wie(!|\.)\b		0	0	0	0							0				https://de.wiktionary.org/wiki/aber_wie	
aber, aber	16	16	\b[Aa]ber, aber\b		0	0	0	0							0				https://de.wiktionary.org/wiki/aber%2C_aber	
abgehen wie Schmidts Katze	17	17	wie Schmidts Katze		0	0	0	0							0				https://de.wiktionary.org/wiki/abgehen_wie_Schmidts_Katze	
abspenstig machen	18	18	abspenstig + MACHEN		8	8 -> 8	8	8 -> 8							8				https://de.wiktionary.org/wiki/abspenstig_machen	
Abstimmung mit den Füßen	19	19	Abstimmung mit den Füßen		1	1	1	1							1				https://de.wiktionary.org/wiki/Abstimmung_mit_den_F%C3%BC%C3%9Fen	
abwarten und Tee trinken	20	20	\bab(\b|w|z|g) + wart + Tee + TRINKEN		0	168707 -> 2 -> 0 -> 0	0	224548 -> 2 -> 0 -> 0							0				https://de.wiktionary.org/wiki/abwarten_und_Tee_trinken	https://en.wiktionary.org/wiki/abwarten_und_Tee_trinken
Achtung gebietend	21	21	Achtung gebietend		0	0	0	0							0				https://de.wiktionary.org/wiki/Achtung_gebietend	
Achtung, fertig, los	22	22	Achtung + fertig + los		0	290 -> 2 -> 0	0	292 -> 2 -> 0							0				https://de.wiktionary.org/wiki/Achtung%2C_fertig%2C_los	
ad acta legen	23	23	ad acta + LEGEN		31	31 -> 31	31	31 -> 31							31				https://de.wiktionary.org/wiki/ad_acta_legen	
ad arma	24	24	ad arma		1	1	1	1							1				https://de.wiktionary.org/wiki/ad_arma	
